2026-02-04 09:17:42,805 ESCs telemetry agent started, configured power train is 22PT
2026-02-04 09:17:42,815 Enumerated ESCs: [TmotorEsc__/dev/ttyESC4, TmotorEsc__/dev/ttyESC2, TmotorEsc__/dev/ttyESC1, TmotorEsc__/dev/ttyESC3]
2026-02-04 09:17:51,407 esc3:{'throttle_in': 1000.0, 'throttle_out': 1000.0, 'rpm': 0.0, 'voltage': 24.0, 'current': 0.0, 'phase_line': 0.0, 'mosfet_temp': 33.5, 'capacitor_temp': 32.4, 'status_code': 0, 'i': '/dev/ttyESC3', 'critical_current_rpm_ratio': 0.0}
2026-02-04 09:17:51,804 esc4:{'throttle_in': 1000.0, 'throttle_out': 1000.0, 'rpm': 0.0, 'voltage': 23.9, 'current': 0.0, 'phase_line': 0.0, 'mosfet_temp': 34.1, 'capacitor_temp': 33.0, 'status_code': 0, 'i': '/dev/ttyESC4', 'critical_current_rpm_ratio': 0.0}
2026-02-04 09:17:52,141 esc2:{'throttle_in': 1000.0, 'throttle_out': 1000.0, 'rpm': 0.0, 'voltage': 24.0, 'current': 0.0, 'phase_line': 0.0, 'mosfet_temp': 33.5, 'capacitor_temp': 32.4, 'status_code': 0, 'i': '/dev/ttyESC2', 'critical_current_rpm_ratio': 0.0}
2026-02-04 09:17:52,148 esc1:{'throttle_in': 1000.0, 'throttle_out': 1000.0, 'rpm': 0.0, 'voltage': 23.9, 'current': 0.0, 'phase_line': 0.0, 'mosfet_temp': 33.5, 'capacitor_temp': 32.4, 'status_code': 0, 'i': '/dev/ttyESC1', 'critical_current_rpm_ratio': 0.0}
2026-02-04 09:17:52,150 esc3:{'throttle_in': 1000.0, 'throttle_out': 1000.0, 'rpm': 0.0, 'voltage': 24.0, 'current': 0.0, 'phase_line': 0.0, 'mosfet_temp': 33.5, 'capacitor_temp': 32.4, 'status_code': 0, 'i': '/dev/ttyESC3', 'critical_current_rpm_ratio': 0.0}
2026-02-04 09:17:52,540 esc4:{'throttle_in': 1000.0, 'throttle_out': 1000.0, 'rpm': 0.0, 'voltage': 23.9, 'current': 0.0, 'phase_line': 0.0, 'mosfet_temp': 34.1, 'capacitor_temp': 33.0, 'status_code': 0, 'i': '/dev/ttyESC4', 'critical_current_rpm_ratio': 0.0}
2026-02-04 09:17:52,877 esc2:{'throttle_in': 1000.0, 'throttle_out': 1000.0, 'rpm': 0.0, 'voltage': 24.0, 'current': 0.0, 'phase_line': 0.0, 'mosfet_temp': 33.5, 'capacitor_temp': 32.4, 'status_code': 0, 'i': '/dev/ttyESC2', 'critical_current_rpm_ratio': 0.0}
2026-02-04 09:17:52,884 esc1:{'throttle_in': 1000.0, 'throttle_out': 1000.0, 'rpm': 0.0, 'voltage': 23.9, 'current': 0.0, 'phase_line': 0.0, 'mosfet_temp': 33.5, 'capacitor_temp': 32.4, 'status_code': 0, 'i': '/dev/ttyESC1', 'critical_current_rpm_ratio': 0.0}
2026-02-04 09:17:52,886 esc3:{'throttle_in': 1000.0, 'throttle_out': 1000.0, 'rpm': 0.0, 'voltage': 24.0, 'current': 0.0, 'phase_line': 0.0, 'mosfet_temp': 33.5, 'capacitor_temp': 32.4, 'status_code': 0, 'i': '/dev/ttyESC3', 'critical_current_rpm_ratio': 0.0}
2026-02-04 09:17:53,276 esc4:{'throttle_in': 1000.0, 'throttle_out': 1000.0, 'rpm': 0.0, 'voltage': 23.9, 'current': 0.0, 'phase_line': 0.0, 'mosfet_temp': 33.5, 'capacitor_temp': 33.0, 'status_code': 0, 'i': '/dev/ttyESC4', 'critical_current_rpm_ratio': 0.0}
2026-02-04 09:17:53,613 esc2:{'throttle_in': 1000.0, 'throttle_out': 1000.0, 'rpm': 0.0, 'voltage': 24.0, 'current': 0.0, 'phase_line': 0.0, 'mosfet_temp': 33.5, 'capacitor_temp': 32.4, 'status_code': 0, 'i': '/dev/ttyESC2', 'critical_current_rpm_ratio': 0.0}
2026-02-04 09:17:53,620 esc1:{'throttle_in': 1000.0, 'throttle_out': 1000.0, 'rpm': 0.0, 'voltage': 23.9, 'current': 0.0, 'phase_line': 0.0, 'mosfet_temp': 33.5, 'capacitor_temp': 32.4, 'status_code': 0, 'i': '/dev/ttyESC1', 'critical_current_rpm_ratio': 0.0}
